id;name;phone;country;city;street;building;description
0;Thomas;323.144.1450x440;Mexico;Lake Jessicaberg;Grace Mews;6882;Telecommunications researcher
1;James;001-422-871-5049x353;Hong Kong;Andreaburgh;Bartlett Stravenue;8233;Teacher, English as a foreign language
2;Mitchell;+1-281-359-4656x72389;China;Port Jeremy;Shawn Street;1152;Planning and development surveyor
3;Webster;248-035-1408x03873;Heard Island and McDonald Islands;North Calvinstad;Angela Islands;601;Contracting civil engineer
4;Mckinney;(716)918-8644x409;Tonga;New Brett;Brianna Rapids;40284;Chartered management accountant
5;Frey;001-302-400-4512x66221;Lao People's Democratic Republic;Velezchester;Emily Haven;94196;Biochemist, clinical
6;Bryant;(437)445-4939x2062;Puerto Rico;New Thomasmouth;Gordon Orchard;0927;Electrical engineer
7;Sandoval;869-657-9869x65102;Venezuela;Lake Joshuahaven;Smith Ferry;2985;Forensic psychologist
8;Baker;8390306881;Nauru;Port Christinafort;Day Grove;2410;Surveyor, planning and development
9;Freeman;+1-874-514-2759;Nauru;Maryshire;Kyle Loop;238;Charity fundraiser
